NumeroChronique; DateDefaillance; TypeDefaillance; NombreAPUtouchees; Cause
35; 6/6/2038; DCC NL;1; FH
35; 25/2/2039; Ind;1; HW
35; 18/8/2039; Ind;1; HW
35; 26/11/2039; Ind;1; HW
35; 24/11/2040; Ind;1; HW
36; 27/2/2017; DCC NL;3; FH
36; 20/7/2020; DCC NL;4; FH
36; 28/1/2023; DCC L;5; HW
36; 13/10/2023; DCC NL;2; FH
36; 16/3/2035; Ind;1; HW
36; 5/3/2036; Ind;1; HW
36; 4/11/2036; Ind;1; HW
36; 17/11/2037; Ind;1; HW
36; 9/7/2038; Ind;1; HW
36; 24/5/2039; DCC NL;1; FH
36; 24/8/2039; Ind;1; HW
36; 26/5/2040; Ind;1; HW
36; 26/6/2040; Ind;1; HW
36; 15/12/2040; Ind;1; HW
37; 11/6/2020; DCC NL;1; FH
37; 2/7/2030; Ind;1; HW
37; 3/3/2032; Ind;1; HW
37; 14/10/2032; Ind;1; HW
37; 26/4/2034; Ind;1; HW
37; 1/10/2034; Ind;1; HW
37; 8/7/2035; Ind;1; HW
37; 6/3/2036; Ind;1; HW
37; 7/7/2036; Ind;1; HW
37; 3/7/2037; Ind;1; HW
37; 21/2/2038; Ind;1; HW
37; 11/8/2038; Ind;1; HW
37; 27/8/2038; DCC L;5; HW
37; 24/9/2039; Ind;1; HW
37; 1/10/2039; Ind;1; HW
37; 19/2/2040; Ind;1; HW
38; 14/6/2021; DCC NL;1; FH
38; 18/5/2027; DCC NL;1; FH
38; 13/12/2029; Ind;1; HW
38; 30/4/2034; DCC NL;3; FH
38; 28/9/2035; DCC NL;3; FH
38; 23/12/2035; Ind;1; HW
38; 25/5/2036; Ind;1; HW
38; 29/8/2036; Ind;1; HW
38; 4/1/2037; Ind;1; HW
38; 12/1/2037; Ind;1; HW
38; 17/10/2038; Ind;1; HW
38; 8/4/2039; Ind;1; HW
38; 16/5/2040; Ind;1; HW
38; 26/7/2040; Ind;1; HW
39; 29/5/2020; DCC NL;2; FH
39; 22/12/2034; Ind;1; HW
39; 1/7/2035; Ind;1; HW
39; 2/10/2035; Ind;1; HW
39; 12/3/2037; Ind;1; HW
39; 23/5/2037; Ind;1; HW
39; 11/6/2037; Ind;1; HW
39; 12/10/2037; Ind;1; HW
39; 22/3/2038; Ind;1; HW
39; 6/6/2038; Ind;1; HW
39; 14/4/2039; Ind;1; HW
39; 24/8/2039; Ind;1; HW
39; 10/11/2039; Ind;1; HW
39; 26/5/2040; Ind;1; HW
40; 12/11/2032; Ind;1; HW
40; 7/6/2033; Ind;1; HW
40; 5/7/2034; Ind;1; HW
40; 19/12/2034; Ind;1; HW
40; 6/8/2035; Ind;1; HW
40; 25/4/2037; Ind;1; HW
40; 16/5/2037; Ind;1; HW
40; 31/1/2038; Ind;1; HW
40; 30/5/2038; Ind;1; HW
40; 3/7/2038; Ind;1; HW
40; 13/8/2040; Ind;1; HW
41; 10/6/2021; DCC NL;3; FH
41; 17/4/2031; Ind;1; HW
41; 19/7/2032; Ind;1; HW
41; 11/3/2033; Ind;1; HW
41; 11/7/2035; DCC L;12; SW
41; 2/10/2035; Ind;1; HW
41; 22/2/2036; Ind;1; HW
41; 11/4/2038; Ind;1; HW
41; 21/9/2038; Ind;1; HW
41; 31/10/2038; Ind;1; HW
41; 3/11/2038; Ind;1; HW
41; 6/8/2039; Ind;1; HW
41; 28/8/2039; DCC NL;2; FH
41; 8/9/2039; Ind;1; HW
41; 23/1/2040; Ind;1; HW
41; 1/3/2040; Ind;1; HW
41; 27/4/2040; Ind;1; HW
41; 9/6/2040; Ind;1; HW
41; 10/12/2040; Ind;1; HW
42; 23/10/2032; Ind;1; HW
42; 25/8/2033; Ind;1; HW
42; 13/10/2034; Ind;1; HW
42; 22/5/2035; DCC NL;2; FH
42; 28/5/2035; Ind;1; HW
42; 3/6/2035; Ind;1; HW
42; 9/7/2037; Ind;1; HW
42; 16/2/2039; Ind;1; HW
42; 18/3/2039; Ind;1; HW
42; 29/5/2039; Ind;1; HW
42; 31/5/2039; Ind;1; HW
42; 18/8/2040; Ind;1; HW
43; 5/1/2037; Ind;1; HW
43; 4/4/2037; Ind;1; HW
43; 13/7/2037; Ind;1; HW
43; 12/10/2037; Ind;1; HW
43; 27/10/2037; Ind;1; HW
43; 1/11/2037; Ind;1; HW
